representative protein;other proteins in group;description;sequence length;monoisotopic mass;% of protein sequence covered by peptides;peptides count;intensity in 2019-019-04 HYE Mix A 1;intensity in 2019-019-04 HYE Mix A 2;intensity in 2019-019-04 HYE Mix A 3;intensity in 2019-019-05 HYE Mix B 1;intensity in 2019-019-05 HYE Mix B 2;intensity in 2019-019-05 HYE Mix B 3
C8ZDI0_YEAS8;;Cpr6p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L7_0606g PE=4 SV=1;371;41988.323;7.82;3;53608;92959;99881;38504;0;18941
ADAM9_HUMAN;;Disintegrin and metalloproteinase domain-containing protein 9 OS=Homo sapiens OX=9606 GN=ADAM9 PE=1 SV=1;819;90497.122;7.81;4;51602;52636;55370;54181;51730;57929
TTC37_HUMAN;;Tetratricopeptide repeat protein 37 OS=Homo sapiens OX=9606 GN=TTC37 PE=1 SV=1;1564;175374.863;7.8;7;61552;63674;67035;47161;54954;53064
COCA1_HUMAN;;Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2;3063;332940.545;7.8;15;185906;202944;190819;179412;206721;157500
GLYR1_HUMAN;;Putative oxidoreductase GLYR1 OS=Homo sapiens OX=9606 GN=GLYR1 PE=1 SV=4;553;60508.963;7.78;2;24410;27164;23639;26762;26688;23250
C8Z4R3_YEAS8;;Rpt2p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_2311g PE=3 SV=1;437;48797.461;7.78;3;3965;4606;4115;0;0;0
WDR5_HUMAN;;WD repeat-containing protein 5 OS=Homo sapiens OX=9606 GN=WDR5 PE=1 SV=1;334;36565.452;7.78;2;95278;92448;89969;90664;104368;101836
IMDH1_HUMAN;;Inosine-5'-monophosphate dehydrogenase 1 OS=Homo sapiens OX=9606 GN=IMPDH1 PE=1 SV=2;514;55370.463;7.78;3;59535;55298;62010;58776;58380;55968
AFG2H_HUMAN;;ATPase family protein 2 homolog OS=Homo sapiens OX=9606 GN=SPATA5 PE=1 SV=3;893;97842.936;7.73;4;23439;27546;17846;25637;28502;26443
SEP10_HUMAN;;Septin-10 OS=Homo sapiens OX=9606 GN=SEPT10 PE=1 SV=2;454;52559.548;7.71;2;25284;24226;24639;29949;29814;25744
ATMA_ECOLI;;Magnesium-transporting ATPase, P-type 1 OS=Escherichia coli (strain K12) OX=83333 GN=mgtA PE=1 SV=1;898;99402.857;7.68;5;19223;16185;14514;129177;127139;130813
IPO9_HUMAN;;Importin-9 OS=Homo sapiens OX=9606 GN=IPO9 PE=1 SV=3;1041;115888.738;7.68;5;173183;161748;173318;137285;161205;143358
TOIP2_HUMAN;;Torsin-1A-interacting protein 2 OS=Homo sapiens OX=9606 GN=TOR1AIP2 PE=1 SV=1;470;51232.15;7.66;2;14742;20712;19346;14623;6658;15634
UBP47_HUMAN;;Ubiquitin carboxyl-terminal hydrolase 47 OS=Homo sapiens OX=9606 GN=USP47 PE=1 SV=3;1375;157212.453;7.64;6;30183;35536;36432;35341;27365;34616
LRC40_HUMAN;;Leucine-rich repeat-containing protein 40 OS=Homo sapiens OX=9606 GN=LRRC40 PE=1 SV=1;602;68207.124;7.64;3;34705;30954;37014;36327;32243;36512
K2C1B_HUMAN;K2C1B_HUMAN K2C1B_HUMAN_CONTA;Keratin, type II cytoskeletal 1b OS=Homo sapiens OX=9606 GN=KRT77 PE=2 SV=3;578;61863.51;7.61;4;79690;102654;84240;93714;84476;90762
CELF1_HUMAN;;CUGBP Elav-like family member 1 OS=Homo sapiens OX=9606 GN=CELF1 PE=1 SV=2;486;52029.865;7.61;3;54500;64436;58105;85549;68722;78610
PTN1_HUMAN;;Tyrosine-protein phosphatase non-receptor type 1 OS=Homo sapiens OX=9606 GN=PTPN1 PE=1 SV=1;435;49934.819;7.59;2;59183;54816;57196;49361;49439;54866
NPL4_HUMAN;;Nuclear protein localization protein 4 homolog OS=Homo sapiens OX=9606 GN=NPLOC4 PE=1 SV=3;608;68076.886;7.57;3;121249;115234;114188;115420;103052;104261
MMS19_HUMAN;;MMS19 nucleotide excision repair protein homolog OS=Homo sapiens OX=9606 GN=MMS19 PE=1 SV=2;1030;113216.999;7.57;5;51280;53248;54319;54141;47297;46548
C8Z6T1_YEAS8;;Prb1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1E8_0144g PE=3 SV=1;635;69557.835;7.56;4;394753;409736;396456;208737;233536;217483
C8ZH10_YEAS8;;Rpt4p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1O4_4885g PE=3 SV=1;437;49377.527;7.55;2;39001;46406;44713;0;9518;0
BYST_HUMAN;;Bystin OS=Homo sapiens OX=9606 GN=BYSL PE=1 SV=3;437;49569.999;7.55;3;19652;28744;27917;30489;29145;28591
SRP54_HUMAN;;Signal recognition particle 54 kDa protein OS=Homo sapiens OX=9606 GN=SRP54 PE=1 SV=1;504;55668.289;7.54;2;53568;52967;56032;70415;78053;70673
OGFR_HUMAN;;Opioid growth factor receptor OS=Homo sapiens OX=9606 GN=OGFR PE=1 SV=3;677;73280.146;7.53;3;48454;47893;50385;48120;49179;49068
AL3B2_HUMAN;AL3B2_HUMAN AL3B1_HUMAN;Aldehyde dehydrogenase family 3 member B2 OS=Homo sapiens OX=9606 GN=ALDH3B2 PE=2 SV=3;385;42607.527;7.53;3;5571;5156;5565;5167;4907;6574
RNR_ECOLI;;Ribonuclease R OS=Escherichia coli (strain K12) OX=83333 GN=rnr PE=1 SV=2;813;92051.516;7.5;3;13165;9593;14739;56782;61196;56160
C8ZHT6_YEAS8;;Mdm38p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1O4_1552g PE=4 SV=1;573;64958.888;7.5;2;20465;24596;21284;8330;8479;8495
MYO1B_HUMAN;;Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3;1136;131901.931;7.48;5;39902;39240;37339;38672;38719;36364
TIAR_HUMAN;;Nucleolysin TIAR OS=Homo sapiens OX=9606 GN=TIAL1 PE=1 SV=1;375;41564.114;7.47;2;63202;67904;62186;56008;56978;56834
MTRR_HUMAN;;Methionine synthase reductase OS=Homo sapiens OX=9606 GN=MTRR PE=1 SV=3;725;80359.419;7.45;3;61889;64627;67971;50999;52306;65210
C8Z8P4_YEAS8;;Erg26p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_2993g PE=4 SV=1;349;38681.764;7.45;2;23460;22521;21724;9784;10838;11248
PFKAL_HUMAN;;ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens OX=9606 GN=PFKL PE=1 SV=6;780;84964.16;7.44;4;49540;58377;56099;54652;48767;61996
JIP4_HUMAN;;C-Jun-amino-terminal kinase-interacting protein 4 OS=Homo sapiens OX=9606 GN=SPAG9 PE=1 SV=4;1321;146114.99;7.42;6;65832;73440;67379;67465;70225;74430
C8ZHL8_YEAS8;;Wrs1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1O4_0727g PE=3 SV=1;432;49319.083;7.41;2;51817;50627;48252;12672;12733;21629
DYST_HUMAN;;Dystonin OS=Homo sapiens OX=9606 GN=DST PE=1 SV=4;7570;860127.322;7.41;36;147211;154843;165710;221075;240441;226503
NEUL_HUMAN;;Neurolysin, mitochondrial OS=Homo sapiens OX=9606 GN=NLN PE=1 SV=1;704;80599.695;7.39;3;70729;74594;50734;54879;60344;64558
NACAM_HUMAN;;Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1;2078;205294.893;7.36;8;832022;815819;884683;899106;555612;822846
YCDX_ECOLI;;Probable phosphatase YcdX OS=Escherichia coli (strain K12) OX=83333 GN=ycdX PE=1 SV=1;245;26873.4;7.35;2;0;16510;0;43816;42050;43015
PAF1_HUMAN;;RNA polymerase II-associated factor 1 homolog OS=Homo sapiens OX=9606 GN=PAF1 PE=1 SV=2;531;59939.106;7.34;2;14108;16373;16103;13919;14438;13245
WDR70_HUMAN;;WD repeat-containing protein 70 OS=Homo sapiens OX=9606 GN=WDR70 PE=1 SV=1;654;73155.04;7.34;4;43541;33258;35402;22597;31158;37024
RT30_HUMAN;;39S ribosomal protein S30, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS30 PE=1 SV=2;439;50332.762;7.29;2;49453;55813;56989;30089;36451;35571
GOGA2_HUMAN;;Golgin subfamily A member 2 OS=Homo sapiens OX=9606 GN=GOLGA2 PE=1 SV=3;1002;113016.643;7.29;5;86061;83314;82407;73380;78291;81517
DNJA3_HUMAN;;DnaJ homolog subfamily A member 3, mitochondrial OS=Homo sapiens OX=9606 GN=DNAJA3 PE=1 SV=2;480;52455.513;7.29;3;24506;51357;56685;53635;47752;49647
CD166_HUMAN;;CD166 antigen OS=Homo sapiens OX=9606 GN=ALCAM PE=1 SV=2;583;65061.1;7.2;3;400695;370162;401250;390482;380044;393748
EPN4_HUMAN;;Clathrin interactor 1 OS=Homo sapiens OX=9606 GN=CLINT1 PE=1 SV=1;625;68215.795;7.2;3;107371;105541;103944;95707;104371;108736
LEG3_HUMAN;;Galectin-3 OS=Homo sapiens OX=9606 GN=LGALS3 PE=1 SV=5;250;26136.053;7.2;2;62119;50446;54828;14974;0;32378
FDFT_HUMAN;;Squalene synthase OS=Homo sapiens OX=9606 GN=FDFT1 PE=1 SV=1;417;48084.193;7.19;2;49513;48261;52898;54553;50695;49767
DCA13_HUMAN;;DDB1- and CUL4-associated factor 13 OS=Homo sapiens OX=9606 GN=DCAF13 PE=1 SV=2;445;51369.176;7.19;2;50566;44287;24945;45926;41700;17766
BRE1A_HUMAN;;E3 ubiquitin-protein ligase BRE1A OS=Homo sapiens OX=9606 GN=RNF20 PE=1 SV=2;975;113592.303;7.18;5;20722;39057;36211;24280;38222;24334
C8Z496_YEAS8;;Rvs161p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1C17_0826g PE=4 SV=2;265;30217.633;7.17;2;172333;165433;164752;177955;153093;174268
GALT7_HUMAN;;N-acetylgalactosaminyltransferase 7 OS=Homo sapiens OX=9606 GN=GALNT7 PE=1 SV=1;657;75341.02;7.15;2;7072;39743;47607;44033;45777;44600
ARFG1_HUMAN;;ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARFGAP1 PE=1 SV=2;406;44640.314;7.14;2;16872;17808;18467;18117;17195;16797
ELOA1_HUMAN;;Elongin-A OS=Homo sapiens OX=9606 GN=ELOA PE=1 SV=2;798;89853.277;7.14;3;33120;35659;32158;36205;33130;34167
D3UF30_YEAS8;;Ssh1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1B15_4676g PE=3 SV=1;490;53248.002;7.14;2;95411;100315;96987;18475;16100;16152
C8ZJH2_YEAS8;;EC1118_1P2_4841p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1P2_4841g PE=4 SV=1;435;49249.157;7.13;2;24856;24683;22452;11542;8365;12233
MYO1E_HUMAN;;Unconventional myosin-Ie OS=Homo sapiens OX=9606 GN=MYO1E PE=1 SV=2;1108;126981.992;7.13;6;154897;178169;161528;131560;161412;121551
SYFB_HUMAN;;Phenylalanine--tRNA ligase beta subunit OS=Homo sapiens OX=9606 GN=FARSB PE=1 SV=3;589;66073.547;7.13;6;145110;120365;143278;88968;212163;76396
PCYOX_HUMAN;;Prenylcysteine oxidase 1 OS=Homo sapiens OX=9606 GN=PCYOX1 PE=1 SV=3;505;56603.745;7.13;3;37391;30010;26153;33572;18757;21675
C8ZBL3_YEAS8;;Arp3p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1J19_0089g PE=3 SV=1;449;49538.919;7.13;2;34054;34771;29061;11814;13970;2379
ZN207_HUMAN;;BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Homo sapiens OX=9606 GN=ZNF207 PE=1 SV=1;478;50717.144;7.11;2;106593;110473;112189;109939;104603;99650
ODP2_HUMAN;;Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLAT PE=1 SV=3;647;68953.079;7.11;3;52726;109133;101705;54509;59614;40580
C8Z923_YEAS8;;EC1118_1G1_4478p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_4478g PE=4 SV=1;818;92801.131;7.09;5;87243;79718;80123;37158;32052;31778
ERLN2_HUMAN;;Erlin-2 OS=Homo sapiens OX=9606 GN=ERLIN2 PE=1 SV=1;339;37815.451;7.08;2;22227;21617;23543;21959;25437;25022
ITPR3_HUMAN;;Inositol 1,4,5-trisphosphate receptor type 3 OS=Homo sapiens OX=9606 GN=ITPR3 PE=1 SV=2;2671;303912.115;7.04;13;117721;133051;119747;69065;67648;63380
C8ZFP3_YEAS8;;Acc1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1N18_0573g PE=4 SV=1;2233;250131.802;7.03;10;195652;187165;184444;72951;66385;71870
PCID2_HUMAN;;PCI domain-containing protein 2 OS=Homo sapiens OX=9606 GN=PCID2 PE=1 SV=2;399;45999.801;7.02;2;42264;37876;44512;38622;38473;38293
C8ZDE8_YEAS8;;Cbf5p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L7_0155g PE=4 SV=1;486;55027.77;7.0;2;48274;42523;50082;14570;14600;15361
TP53B_HUMAN;;TP53-binding protein 1 OS=Homo sapiens OX=9606 GN=TP53BP1 PE=1 SV=2;1972;213442.688;7.0;7;87115;99036;91305;87372;81697;84097
COPG2_HUMAN;;Coatomer subunit gamma-2 OS=Homo sapiens OX=9606 GN=COPG2 PE=1 SV=1;871;97559.583;7.0;5;12327;14667;14266;0;0;0
KPCA_HUMAN;;Protein kinase C alpha type OS=Homo sapiens OX=9606 GN=PRKCA PE=1 SV=4;672;76700.129;6.99;2;28347;29862;28926;25228;23915;23126
C8ZAM6_YEAS8;;Mitochondrial import inner membrane translocase subunit TIM44 OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1I12_1772g PE=3 SV=1;431;48924.495;6.96;2;33626;32379;30150;13415;16116;16891
DIDO1_HUMAN;;Death-inducer obliterator 1 OS=Homo sapiens OX=9606 GN=DIDO1 PE=1 SV=5;2240;243723.193;6.96;8;80224;67259;80209;86817;72870;88267
UBP48_HUMAN;;Ubiquitin carboxyl-terminal hydrolase 48 OS=Homo sapiens OX=9606 GN=USP48 PE=1 SV=1;1035;118956.153;6.96;5;96725;96712;87770;88173;94986;82895
SPT6H_HUMAN;;Transcription elongation factor SPT6 OS=Homo sapiens OX=9606 GN=SUPT6H PE=1 SV=2;1726;198948.598;6.95;8;117152;112110;110451;103755;101210;109586
EEA1_HUMAN;;Early endosome antigen 1 OS=Homo sapiens OX=9606 GN=EEA1 PE=1 SV=2;1411;162367.181;6.95;8;57656;46550;42292;57753;61804;77403
BGLX_ECOLI;;Periplasmic beta-glucosidase OS=Escherichia coli (strain K12) OX=83333 GN=bglX PE=3 SV=2;765;83407.464;6.93;4;36183;32055;33002;46929;44228;46209
CEBPZ_HUMAN;;CCAAT/enhancer-binding protein zeta OS=Homo sapiens OX=9606 GN=CEBPZ PE=1 SV=3;1054;120898.331;6.93;4;68011;70779;53171;55745;45711;64638
RLPA_ECOLI;;Endolytic peptidoglycan transglycosylase RlpA OS=Escherichia coli (strain K12) OX=83333 GN=rlpA PE=1 SV=1;362;37504.851;6.91;2;9716;12817;11268;57735;57202;59000
PGES2_HUMAN;;Prostaglandin E synthase 2 OS=Homo sapiens OX=9606 GN=PTGES2 PE=1 SV=1;377;41916.673;6.9;3;29850;15529;23436;27621;29179;29337
C8Z3X2_YEAS8;;Ncl1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1B15_1013g PE=3 SV=1;682;77588.491;6.89;3;19270;0;19918;8326;8006;9799
BRE1B_HUMAN;;E3 ubiquitin-protein ligase BRE1B OS=Homo sapiens OX=9606 GN=RNF40 PE=1 SV=5;1001;113608.628;6.89;5;258194;282301;279709;265201;270282;281338
RNPS1_HUMAN;;RNA-binding protein with serine-rich domain 1 OS=Homo sapiens OX=9606 GN=RNPS1 PE=1 SV=1;305;34187.701;6.89;2;187782;178752;174343;188481;180137;194839
C8Z8B3_YEAS8;;Coatomer subunit beta' OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_1453g PE=3 SV=1;889;99383.275;6.86;3;58947;62603;56588;23668;20360;20692
PEPT_ECOLI;;Peptidase T OS=Escherichia coli (strain K12) OX=83333 GN=pepT PE=1 SV=2;408;44894.811;6.86;2;6968;6472;4353;31521;29236;33765
AP3B1_HUMAN;;AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3;1094;121244.498;6.86;4;64736;61919;61681;37635;40931;54936
MLEC_HUMAN;;Malectin OS=Homo sapiens OX=9606 GN=MLEC PE=1 SV=1;292;32213.584;6.85;2;44108;48308;51978;51120;56094;57315
RBM28_HUMAN;;RNA-binding protein 28 OS=Homo sapiens OX=9606 GN=RBM28 PE=1 SV=3;759;85684.738;6.85;4;64679;65845;70438;56188;61241;55933
FUMC_ECOLI;;Fumarate hydratase class II OS=Escherichia coli (strain K12) OX=83333 GN=fumC PE=1 SV=1;467;50456.721;6.85;2;7587;10023;10370;63054;61445;67390
SECD_ECOLI;;Protein translocase subunit SecD OS=Escherichia coli (strain K12) OX=83333 GN=secD PE=1 SV=1;615;66590.688;6.83;3;4610;4836;4566;38081;40579;37246
XPO7_HUMAN;;Exportin-7 OS=Homo sapiens OX=9606 GN=XPO7 PE=1 SV=3;1087;123827.976;6.81;4;78669;75742;77940;87889;73179;71288
PUR8_ECOLI;;Adenylosuccinate lyase OS=Escherichia coli (strain K12) OX=83333 GN=purB PE=1 SV=1;456;51510.607;6.8;3;1481;2740;1874;35734;36578;35802
SMHD1_HUMAN;;Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2;2005;226231.082;6.78;10;194175;249186;229242;236413;261410;248750
C8Z9N9_YEAS8;;Hxt5p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1H13_0606g PE=3 SV=1;592;66208.006;6.76;3;91494;95177;110679;49067;48960;48776
DER_ECOLI;;GTPase Der OS=Escherichia coli (strain K12) OX=83333 GN=der PE=1 SV=1;490;55001.462;6.73;3;49969;52594;51567;71675;68908;68634
SOAT1_HUMAN;;Sterol O-acyltransferase 1 OS=Homo sapiens OX=9606 GN=SOAT1 PE=1 SV=3;550;64692.275;6.73;2;64114;63398;28793;58918;63994;66288
S39AE_HUMAN;;Zinc transporter ZIP14 OS=Homo sapiens OX=9606 GN=SLC39A14 PE=1 SV=3;492;54177.214;6.71;2;135113;140345;130240;134274;144983;139675
GNS_HUMAN;;N-acetylglucosamine-6-sulfatase OS=Homo sapiens OX=9606 GN=GNS PE=1 SV=3;552;62042.038;6.7;3;64657;91915;78881;54660;87702;89684
NDUS2_HUMAN;;NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS2 PE=1 SV=2;463;52511.724;6.7;2;65683;64754;57400;59267;60155;52103
EI2BD_HUMAN;;Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;523;57521.329;6.69;2;30754;33866;25369;24585;28848;28849
C8Z6A8_YEAS8;;Sec31p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_0111g PE=4 SV=1;1273;138673.595;6.68;5;128875;149804;130804;41804;46509;44624
ZRAB2_HUMAN;;Zinc finger Ran-binding domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ZRANB2 PE=1 SV=2;330;37382.022;6.67;2;23987;50438;46165;47099;47834;47203
NU133_HUMAN;;Nuclear pore complex protein Nup133 OS=Homo sapiens OX=9606 GN=NUP133 PE=1 SV=2;1156;128898.027;6.66;5;104837;103493;109873;99341;113604;109567
TLDD_ECOLI;;Metalloprotease TldD OS=Escherichia coli (strain K12) OX=83333 GN=tldD PE=1 SV=1;481;51332.129;6.65;2;16073;17120;5413;52545;54784;51545
CPDB_ECOLI;;2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase OS=Escherichia coli (strain K12) OX=83333 GN=cpdB PE=1 SV=2;647;70787.829;6.65;3;6264;8525;5389;46734;47863;32056
RGAP1_HUMAN;;Rac GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RACGAP1 PE=1 SV=1;632;70981.765;6.65;2;5937;4969;25035;6649;6745;6571
TCRG1_HUMAN;;Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=2;1098;123823.276;6.65;6;140497;144227;137982;132718;113837;140065
ODB2_HUMAN;;Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DBT PE=1 SV=3;482;53452.919;6.64;2;19603;20329;21176;21066;18654;18479
ESYT2_HUMAN;;Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1;921;102293.933;6.62;4;51045;57592;54936;53448;54287;48746
YMEL1_HUMAN;;ATP-dependent zinc metalloprotease YME1L1 OS=Homo sapiens OX=9606 GN=YME1L1 PE=1 SV=2;773;86400.912;6.6;3;46977;71974;66000;63151;62882;56965
PERI_HUMAN;;Peripherin OS=Homo sapiens OX=9606 GN=PRPH PE=1 SV=2;470;53618.422;6.6;3;27619;42908;45424;37632;40625;43473
FND3A_HUMAN;;Fibronectin type-III domain-containing protein 3A OS=Homo sapiens OX=9606 GN=FNDC3A PE=1 SV=4;1198;131767.471;6.59;4;19253;21716;25448;32399;40395;34839
APC1_HUMAN;;Anaphase-promoting complex subunit 1 OS=Homo sapiens OX=9606 GN=ANAPC1 PE=1 SV=1;1944;216361.402;6.58;8;32577;29533;28237;25037;24141;28449
GTPB1_HUMAN;;GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=GTPBP1 PE=1 SV=3;669;72408.02;6.58;2;5728;8156;7799;7889;9602;7139
C8ZGT4_YEAS8;;Dcs2p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1O4_3928g PE=4 SV=1;397;46381.986;6.55;2;31412;27983;28938;3494;0;3359
HXK1_HUMAN;;Hexokinase-1 OS=Homo sapiens OX=9606 GN=HK1 PE=1 SV=3;917;102420.139;6.54;4;90284;94448;100754;101769;102074;98572
K1H5_HUMAN_CONTA;KRT35_HUMAN K1H5_HUMAN_CONTA;Contaminant, Keratin, type I cuticular Ha5 (Hair keratin, type I Ha5);429;48039.364;6.53;4;30625;37915;34392;31705;34124;34106
TCOF_HUMAN;;Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3;1488;152015.323;6.52;8;170953;203475;187123;190641;197646;168082
PYGB_HUMAN;;Glycogen phosphorylase, brain form OS=Homo sapiens OX=9606 GN=PYGB PE=1 SV=5;843;96634.524;6.52;3;32172;37527;38190;26357;37522;29144
PIPSL_HUMAN;;Putative PIP5K1A and PSMD4-like protein OS=Homo sapiens OX=9606 GN=PIPSL PE=5 SV=1;862;94987.554;6.5;3;13629;19283;16532;23169;18976;19828
GCP3_HUMAN;;Gamma-tubulin complex component 3 OS=Homo sapiens OX=9606 GN=TUBGCP3 PE=1 SV=2;907;103506.091;6.5;3;24706;22255;23282;26932;21365;22144
LGMN_HUMAN;;Legumain OS=Homo sapiens OX=9606 GN=LGMN PE=1 SV=1;433;49379.406;6.47;2;39559;37393;45843;45798;43368;38630
TEX10_HUMAN;;Testis-expressed protein 10 OS=Homo sapiens OX=9606 GN=TEX10 PE=1 SV=2;929;105607.611;6.46;4;65945;70610;73133;67045;65325;72219
EZH2_HUMAN;;Histone-lysine N-methyltransferase EZH2 OS=Homo sapiens OX=9606 GN=EZH2 PE=1 SV=2;746;85308.574;6.43;3;26204;29786;24196;23137;22138;22460
SMU1_HUMAN;;WD40 repeat-containing protein SMU1 OS=Homo sapiens OX=9606 GN=SMU1 PE=1 SV=2;513;57507.229;6.43;3;155865;176672;184194;181037;160793;175271
ZN598_HUMAN;;E3 ubiquitin-protein ligase ZNF598 OS=Homo sapiens OX=9606 GN=ZNF598 PE=1 SV=1;904;98575.199;6.42;4;217619;190012;234764;192349;173278;175850
BLH1_YEAS8;;Cysteine proteinase 1, mitochondrial OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=LAP3 PE=3 SV=2;483;55447.755;6.42;2;83052;76678;82576;37040;37690;32927
HDGR2_HUMAN;;Hepatoma-derived growth factor-related protein 2 OS=Homo sapiens OX=9606 GN=HDGFL2 PE=1 SV=1;671;74272.23;6.41;3;15729;64032;62563;59983;74363;14853
MOT1_HUMAN;;Monocarboxylate transporter 1 OS=Homo sapiens OX=9606 GN=SLC16A1 PE=1 SV=3;500;53908.851;6.4;2;132549;135263;136976;122530;140703;141996
CSK21_HUMAN;CSK21_HUMAN CSK23_HUMAN;Casein kinase II subunit alpha OS=Homo sapiens OX=9606 GN=CSNK2A1 PE=1 SV=1;391;45114.799;6.39;2;255636;178500;237694;49931;137669;54517
C8Z5E9_YEAS8;;Coatomer subunit beta OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_5116g PE=4 SV=1;973;108965.153;6.37;4;62142;63596;62939;27049;28261;25124
NPA1P_HUMAN;;Nucleolar pre-ribosomal-associated protein 1 OS=Homo sapiens OX=9606 GN=URB1 PE=1 SV=4;2271;254227.157;6.34;9;71427;71882;72524;65524;58683;67962
SSF1_HUMAN;;Suppressor of SWI4 1 homolog OS=Homo sapiens OX=9606 GN=PPAN PE=2 SV=1;473;53160.771;6.34;2;35241;28967;37290;36362;35751;39039
SART3_HUMAN;;Squamous cell carcinoma antigen recognized by T-cells 3 OS=Homo sapiens OX=9606 GN=SART3 PE=1 SV=1;963;109865.278;6.33;4;86659;83371;79262;74375;77559;81279
TRIPC_HUMAN;;E3 ubiquitin-protein ligase TRIP12 OS=Homo sapiens OX=9606 GN=TRIP12 PE=1 SV=1;1992;220295.766;6.33;9;56253;55047;46444;52533;51660;47929
UAP1_HUMAN;;UDP-N-acetylhexosamine pyrophosphorylase OS=Homo sapiens OX=9606 GN=UAP1 PE=1 SV=3;522;58731.846;6.32;2;36885;34177;37536;30550;28274;27878
RGPD3_HUMAN;;RanBP2-like and GRIP domain-containing protein 3 OS=Homo sapiens OX=9606 GN=RGPD3 PE=3 SV=2;1758;197363.914;6.31;11;33860;34997;39120;45163;38149;37766
C8ZJ01_YEAS8;;Erg10p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1P2_2806g PE=3 SV=1;398;41702.696;6.28;2;93897;95051;96281;42423;44246;40712
